sp	activity	reference
Yucca spp	Antiaggregant(抗血小板剤);Antibacterial(抗菌);Antiinflammatory(抗炎症);Antimelanomic(抗黒皮症);Antioxidant(酸化防止剤);Antiproliferative(抗増殖性);Antitumor(抗腫瘍);Astringent(収斂性);Bactericide(殺菌剤);Bitter(苦味);Depurative(浄化作用);Fungicide(殺菌剤、防カビ剤);Hemolytic(溶血性);Steroid precursor(ステロイド前駆体)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Zanthoxylum armatum DC	Antibacterial(抗菌);Antiseptic(防腐剤);Aperitif(食前酒);Astringent(収斂性);Bitter(苦味);Carminative(駆風薬);Dentifrice(歯磨剤);Deodorant(消臭);Depurative(浄化作用);Diaphoretic(発汗剤);Fungicide(殺菌剤、防カビ剤);Hepatotonic;Hypoglycemic(低血糖);Insecticide(殺虫剤);Pectoral(胸筋);Piscicide(殺魚剤);Stimulant(興奮薬);Stomachic(健胃薬);Tonic(強壮剤);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Zanthoxylum clava-herculis L.	Analgesic(鎮痛剤);Antihelicobacter(抗ヘリコバクテリア);Antiinflammatory(抗炎症);Antirheumatic(抗リウマチ剤);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antiulcerogenic(抗潰瘍);Carminative(駆風薬);Circulostimulant;Diaphoretic(発汗剤);Diuretic(利尿薬);Hypotensive(低血圧);Larvicide(幼虫駆除剤);Sedative(鎮静剤);Sialagogue(唾液分泌促進薬);Stomachic(健胃薬);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Zanthoxylum rhoifolium Lam.	Antiplasmodial(抗変形菌);Antistaphylococcic(抗スタフィロコッカス菌);Bactericide(殺菌剤);Gram(-)-incide(殺グラム陰性菌薬);Gram(+)-incide(殺グラム陽性菌薬);Plasmodicide(抗マラリア薬)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Vismia spp	Antileishmanic(抗レーシュマニア);Antiseptic(防腐剤);Cicatrizant(瘢痕形成薬);Cytotoxic(細胞毒性);Depurative(浄化作用);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Piscicide(殺魚剤);Trypanosomicide(抗トリパノソーマ薬)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Swietenia macrophylla King	Antifeedant(摂食阻害剤);Astringent(収斂性);Contraceptive(避妊薬);Depurative(浄化作用);Diuretic(利尿薬);Febrifuge(解熱剤);Hypotensive(低血圧);Propecic;Tonic(強壮剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Zanthoxylum spp.	Abortifacient(堕胎薬);Alterative(体質改善剤);Analgesic(鎮痛剤);Anesthetic(麻酔薬);Antihelicobacter(抗ヘリコバクテリア);Antiinflammatory(抗炎症);Antiperistaltic(蠕動抑制);Antirheumatic(抗リウマチ剤);Antispasmodic(鎮痙薬);Antiulcerogenic(抗潰瘍);Candidicide;Carminative(駆風薬);Cholagogue(胆汁分泌促進薬);Circulostimulant;Cytotoxic(細胞毒性);Diaphoretic(発汗剤);Diuretic(利尿薬);Emmenagogue(通経薬);Expectorant(去痰薬);Hypotensive(低血圧);Nephrotonic(腎強壮性);Nervine(神経鎮静薬);Pancreatonic(膵臓強壮薬);Secretagogue(分泌促進物質、分泌促進剤);Sialagogue(唾液分泌促進薬);Stimulant(興奮薬);Stomachic(健胃薬);Tonic(強壮剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Zea mays L.	Analgesic(鎮痛剤);Anti-epstein-Barr virus (抗EBウイルス);Antiaggregant(抗血小板剤);Antiatherogenic(抗動脈硬化);Anticancer(抗ガン);Antidecubitic(抗褥瘡);Antiedemic(抗浮腫性);Antigenotoxic(抗遺伝毒性);Antihypertensive(降圧剤);Antiinflammatory(抗炎症);Antilactagogue(抗催乳薬);Antimutagenic(抗突然変異性);Antioxidant(酸化防止剤);Antiperoxidant(抗過酸化物質);Antitumor promoter(抗腫瘍プロモーター);Antiviral(抗ウイルス薬);Aphrodisiac(媚薬);Cardiotonic(強心剤);Cell proliferant(細胞増殖);Cholagogue(胆汁分泌促進薬);Cholinergic(コリン作動性);Diuretic(利尿薬);Emmenagogue(通経薬);Emollient(緩和剤);Gastroprotective(胃保護剤);Gastrosedative(胃鎮静剤);Hemostat(止血剤);Hepatoprotective(肝保護);Hypertensive(高血圧);Hypocholesterolemic(低コレステロール血);Hypoglycemic(低血糖);Hypolipemic(脂質低下);Hypotensive(低血圧);Hypouricemic(低尿酸血症);Immunostimulant(免疫賦活剤);iNOS genic(iNOS生成);Insecticide(殺虫剤);Kaliuretic(カリウム利尿);Litholytic(結石溶解);Sedative(鎮静剤);Stimulant(興奮薬);Stomachic(健胃薬);Uricosuric(尿酸排せつ);Uterocontractant(子宮コントラクタント);Uterotonic(子宮収縮薬);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Zingiber officinale Roscoe	Adenosis(腺疾患、腺症);Aging(加齢);Alcoholism(アルコール中毒(症));Allergenic(アレルギー生成);Alopecia(脱毛(症));Alzheimer's disease(アルツハイマー病);Analgesic(鎮痛剤);Anemia(貧血);Anorexia(食欲不振);Antiaggregant(抗血小板剤);Antialcoholic(反アルコール);Antiallergic(抗アレルギー);Antibacterial(抗菌);Anticarcinogenic(抗発ガン性);Anticathartic(抗便通薬);Anticholinergic(抗コリン作用薬);Anticonvulsant(抗けいれん薬、抗痙攣薬);Antidepressant(抗鬱剤);Antidote (araceae)(解毒剤、サトイモ科);Antidote (mushroom)(解毒剤、キノコ);Antidote (seafood poisoning)(解毒剤、シーフード中毒);Antiedemic(抗浮腫性);Antiemetic(制吐剤);Antiemmenagogue(月経抑止剤);Antihistaminic(抗ヒスタミン薬);Antiinflammatory(抗炎症);Antileukotriene(抗ロイコトリエン);Antilipidemic(抗脂質異常症剤);Antimutagenic(抗突然変異性);Antinarcotic(麻薬拮抗性);Antinauseant(制吐性);Antioxidant(酸化防止剤);Antiprostaglandin(抗プロスタグランジン);Antipyretic(解熱薬);Antirhinoviral(抗リノウイルス);Antisecretory(抗分泌);Antiseptic(防腐剤);Antiserotoninergic(抗セロトニン作動性);Antispasmodic(鎮痙薬);Antithrombic(抗血栓症);Antithromboxane(抗トロンボキサン);Antitussive(鎮咳薬);Antiulcerogenic(抗潰瘍);Antiviral(抗ウイルス薬);Anxiety(不安症);Anxiolytic(抗不安薬);Aperitif(食前酒);Aphrodisiac(媚薬);Arrhythmogenic(催不整脈性);Arthorosis(関節症);Ascites(腹水症);Asthma(喘息);Astringent(収斂性);Atherosclerosis(アテローム硬化症);Backache(背中の痛み);Bite;Bleeding(出血);Blister(水疱);Boil(おでき);Borborygmus(腹鳴);Bronchosis(気管支炎);Bruise(打撲傷);Cancer(ガン);Candidicide;Cardiopathy(心疾患);Cardiotonic(強心剤);Carminative(駆風薬);Cataract(白内障);Catarrh(カタル);Chemotherapy(化学療法);Chest cold(咳かぜ);Childbirth(分娩);Cholagogue(胆汁分泌促進薬);Cholera(コレラ);Circulostimulant;CNS depressant(中枢神経系抑制剤);Cold(感冒);Colic(疝痛);Congestion(うっ血);Convulsant(けいれんを起こす);Corneosis;Cough(咳);Cramp(けいれん、ひきつり);Cyclooxygenase COX inhibitor(シクロオキシゲナーゼ阻害剤);Cyclooxygenase COX-2 inhibitor(シクロオキシゲナーゼ-2-阻害剤);Dandruff(ふけ);Decongestant(充血除去剤);Depression(憂うつ症);Detoxicant(解毒剤);Diabetes(糖尿病);Diaphoretic(発汗剤);Diarrhea(下痢);Digestive(消化器);Dizziness(めまい);Dropsy(水腫);Dysmenorrhea(月経困難);Dyspepsia(消化不良、胃弱);Dyspnea(呼吸困難);Earache(耳痛);Edema(水しゅ、浮腫);Elephantiasis(象皮病);Emmenagogue(通経薬);Enterosis;Epigastrosis;Epistaxis(鼻出血);Expectorant(去痰薬);Fever(発熱);Flu(インフルエンザ);Fungicide(殺菌剤、防カビ剤);Gastroirritant(胃刺激物);Gastroprotective(胃保護剤);Gastrosis(胃障害);Gastrotonic(胃強壮薬);Head cold(鼻かぜ);Headache(頭痛);Hemorrhoids(痔核);Hepatoprotective(肝保護);Hepatosis(肝機能不全);High blood pressure(高血圧);High cholesterol(高コレステロール);Hoarseness(嗄声);Hyperemesis(悪阻);Hypertensive(高血圧);Hypocholesterolemic(低コレステロール血);Hypoglycemic(低血糖);Hypotensive(低血圧);Immunodepression(免疫抑制);Immunostimulant(免疫賦活剤);Impotence(インポテンツ);Infection(感染);Infertility(不毛);Inflammation(炎症);Insomnia(不眠症);Kawasaki disease(川崎病);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Lipolytic(脂肪分解);Lipoxygenase inhibitor(リポキシゲナーゼ阻害剤);Low blood pressure(低血圧);Lumbago(腰痛症);Malaria(マラリア);Marasmus(消耗症);Migraine(片頭痛);Molluscicide(軟体動物駆除剤);Morning sickness(早朝嘔吐);Motion sickness(動揺病、乗物酔い);Mutagenic(変異原性);Mycosis(真菌症);Myorelaxant(筋肉弛緩薬);Myosis(縮瞳);Nausea(吐き気);Nematocide(抗線虫剤);Nephrosis((上皮性)腎臓症、ネフローゼ);Nervousness(神経過敏);Neuralgia(神経痛);Neurasthenia(神経衰弱症);Obesity(肥満);Opacity(混濁(眼疾患));Ophthalmia(眼結膜炎、眼炎);Osteoarthrosis(骨関節症、変形性関節症);Ovicide(殺卵剤);Pain(痛み);Palpitation(動悸);Parasiticide(虫下し、駆虫薬);Peristaltic(蠕動性);Pharyngosis;Positive Inotropic(陽性変力作用);Postoperative Nausea(術後悪心);Pressor(血圧増進);Proteolytic(蛋白質分解性);Pyrexia(発熱);Raynaud's(レイノー病);Respirastimulant(呼吸刺激剤);Rheumatism(リウマチ);Schistosoma(住血吸虫症);Schistosomacide(殺住血吸虫薬);Seasickness(船酔い);Secretagogue(分泌促進物質、分泌促進剤);Sialagogue(唾液分泌促進薬);Snakebite(ヘビ傷);Sore Throat(咽喉炎);Splenosis(脾症);Sternutator(くしゃみ誘発剤);Stimulant(興奮薬);Stomachache(胃痛、腹痛);Stomachic(健胃薬);Stomatosis(口腔病、口腔症);Stroke(卒中);Swelling(膨潤);Syncope(失神);Thermogenic(発熱性);Thirst(口渇);Thrombocytosis(血小板増加症);Thrombosis(血栓症);Thromboxane synthetase inhibitor(トロンボキサン合成酵素阻害剤);Tonic(強壮剤);Toothache(歯痛);Trichomoniasis(トリコモナス症);Ulcer(潰瘍);Vaginosis(膣症);Vasomotor Stimulant(血管刺激);Vermicide(駆虫剤);Vertigo(めまい);Vitiligo(白斑);Vomiting(嘔吐)	James A Duke with Mary Jo Bogenschutz-Godwin,Judi duCellier,Peggy-Ann K.Duke(Illustrator),CRC HANDBOOK OF Medicinal Spices,CRC PRESS(2002);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Ziziphus joazeiro Mart.	Candidicide;Fungicide(殺菌剤、防カビ剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Vitis vinifera L.	Analgesic(鎮痛剤);Anti-HIV(抗HIV);Antiaggregant(抗血小板剤);Antiallergic(抗アレルギー);Antialopecic(抗脱毛);Antialzheimeran(抗アルツハイマー);Antianaphylactic(抗アナフィラキシー);Antiarthritic(抗関節炎薬);Antiasthmatic(抗ぜんそく);Antiatherogenic(抗動脈硬化);Antiatherosclerotic(抗アテローム硬化性);Antibacterial(抗菌);Anticancer(抗ガン);Anticapillary(抗毛細血管);Anticapillary Fragility(抗毛細血管脆弱性);Anticariogenic(う蝕);Antiedemic(抗浮腫性);Antierythemic(抗紅斑);Antihistaminic(抗ヒスタミン薬);Antiinflammatory(抗炎症);Antimutagenic(抗突然変異性);Antioxidant(酸化防止剤);Antiprostaglandin(抗プロスタグランジン);Antiseptic(防腐剤);Antitumor(抗腫瘍);Antiulcerogenic(抗潰瘍);Antiviral(抗ウイルス薬);Aphrodisiac(媚薬);Astringent(収斂性);Cardioprotective(心臓保護);Collagen protective(コラーゲン保護);Cyclooxygenase COX-1 inhibitor(シクロオキシゲナーゼ-1-阻害剤);Cyclooxygenase COX-2 inhibitor(シクロオキシゲナーゼ-2-阻害剤);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Depurative(浄化作用);Diuretic(利尿薬);Expectorant(去痰薬);Fragility(虚弱);Fungicide(殺菌剤、防カビ剤);Hemostat(止血剤);Hepatoprotective(肝保護);Hypocholesterolemic(低コレステロール血);Immunostimulant(免疫賦活剤);Laxative(下剤);Litholytic(結石溶解);Propecic;Radioprotective(放射線防護);Stomachic(健胃薬);Sunscreen(日焼け止め);Tonic(強壮剤);Vasoprotective(血管保護薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Warburgia salutaris (Bertol. F.) Chiov.	Analgesic(鎮痛剤);Antifeedant(摂食阻害剤);Antiseptic(防腐剤);Aphrodisiac(媚薬);Cytotoxic(細胞毒性);Emetic(催吐薬);Expectorant(去痰薬);Hemolytic(溶血性);Laxative(下剤);Molluscicide(軟体動物駆除剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Warszewiczia coccinea (Vahl) Klotzsch	Analgesic(鎮痛剤);Antiseptic(防腐剤);Aphrodisiac(媚薬);Fungicide(殺菌剤、防カビ剤);Hemostat(止血剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Wasabia japonica (Miq.) Matsum.	Antiaggregant(抗血小板剤);Anticancer(抗ガン);Asthma(喘息);Cancer(ガン);Cancer, lung(ガン、肺);Cancer, prostate(ガン、前立腺);Caries(カリエス、骨瘍剤);Congestion(うっ血);Decongestant(充血除去剤);Diaphoretic(発汗剤);High blood pressure(高血圧);Infection(感染);Mycosis(真菌症);Sinusosis;Thrombosis(血栓症);Trypanosomiasis(トリパノソーマ症)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002);James A Duke with Mary Jo Bogenschutz-Godwin,Judi duCellier,Peggy-Ann K.Duke(Illustrator),CRC HANDBOOK OF Medicinal Spices,CRC PRESS(2002)
Withania somnifera (L.) Dunal	Abortifacient(堕胎薬);Adaptogen(適応促進薬、アダプトゲン);Alterative(体質改善剤);Amebicide(抗アメーバ薬);Anabolic(同化促進);Analgesic(鎮痛剤);Antiaging(アンチエイジング);Antianemic(抗貧血);Antiarthritic(抗関節炎薬);Antibacterial(抗菌);Antiedemic(抗浮腫性);Antiendotoxin(抗内毒素);Antiepileptic(抗癲癇作用);Antifertility(避妊);Antiherpetic(抗ヘルペス);Antiinflammatory(抗炎症);Antimitotic(抗有糸分裂);Antioxidant(酸化防止剤);Antiproliferative(抗増殖性);Antipyretic(解熱薬);Antisarcomic;Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antistress(抗ストレス);Antitumor(抗腫瘍);Antiulcerogenic(抗潰瘍);Antiviral(抗ウイルス薬);Aphrodisiac(媚薬);Bradycardiac(徐脈);Cerebrotonic(頭脳型);Chemopreventive(化学防御);CNS-depressant(中枢神経系抑制剤);Contraceptive(避妊薬);Cytotoxic(細胞毒性);Deobstruent(閉塞物の排除);Diuretic(利尿薬);Ecbolic(陣痛促進薬);Emmenagogue(通経薬);Fungicide(殺菌剤、防カビ剤);GABA nergic(GABA作動性);Hematogenic(造血);Hepatoprotective(肝保護);Hypnotic(睡眠薬);Hypotensive(低血圧);Immunodepressant(免疫抑制剤);Immunomodulator(免疫修飾因子);Immunostimulant(免疫賦活剤);Insecticide(殺虫剤);Inteferonigenic(インターフェロン生成);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Memorigenic;Narcotic(麻薬);Nervine(神経鎮静薬);Pain(痛み);Pediculicide(シラミ駆除剤);Phagocytotic(食作用);Poison(毒);Proteolytic(蛋白質分解性);Respirastimulant(呼吸刺激剤);Sedative(鎮静剤);Staminagenic;Tonic(強壮剤);Tranquilizer(精神安定剤);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Wulffia baccata (L.) Kuntze	Antidiabetic(抗糖尿病薬);Casein kinase II inhibitor(カゼインキナーゼIIの阻害剤);Febrifuge(解熱剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Xanthium spinosum L.	Acaricide(ダニ駆除剤);Anti-multiple drug resistance(抗多剤耐性);Antifertility(避妊);Antiinflammatory(抗炎症);Antileukemic(抗白血病);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Astringent(収斂性);Bactericide(殺菌剤);Cicatrizant(瘢痕形成薬);CNS-depressant(中枢神経系抑制剤);Contraceptive(避妊薬);Depurative(浄化作用);Diaphoretic(発汗剤);Digestive(消化器);Diuretic(利尿薬);Emollient(緩和剤);Febrifuge(解熱剤);Hemostat(止血剤);Hepatoprotective(肝保護);Insulin sparing(インスリン節約作用);Laxative(下剤);Sedative(鎮静剤);Sialagogue(唾液分泌促進薬);Sudorific(発汗促進);Tonic(強壮剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Xanthium strumarium L.	Alexeteric(解毒作用);Analgesic(鎮痛剤);Anticarcinogenic(抗発ガン性);Antiedemic(抗浮腫性);Antihyperglycemic(血糖降下);Antiinflammatory(抗炎症);Antimelanomic(抗黒皮症);Antisarcomic;Antiseptic(防腐剤);Antitumor(抗腫瘍);Antiulcerogenic(抗潰瘍);Astringent(収斂性);Bactericide(殺菌剤);Cyclooxygenase COX-2 inhibitor(シクロオキシゲナーゼ-2-阻害剤);Cytotoxic(細胞毒性);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Diaphoretic(発汗剤);Diuretic(利尿薬);Emollient(緩和剤);Farnesylation inhibitor(ファルネシル化阻害剤);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Gastroprotective(胃保護剤);Gram(+)-incide(殺グラム陽性菌薬);Hemostat(止血剤);Hypoglycemic(低血糖);iNOS inhibitor(iNOS阻害剤);Memorigenic;Multidrug resistance inhibitor(多剤耐性阻害剤);Orexigenic(食欲刺激[促進]物質);Peristaltic(蠕動性);Pneumonic(肺);Refrigerant(解熱剤);Sedative(鎮静剤);Sialagogue(唾液分泌促進薬);Sudorific(発汗促進);TNFalpha inhibitor(TNFアルファ阻害剤);Tonic(強壮剤);Trypanosomicide(抗トリパノソーマ薬)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Xanthorhiza simplicissima Marshall	Analgesic(鎮痛剤);Antialzheimeran(抗アルツハイマー);Antiarthritic(抗関節炎薬);Anticancer(抗ガン);Anticonvulsant(抗けいれん薬、抗痙攣薬);Antihelicobacter(抗ヘリコバクテリア);Antiinflammatory(抗炎症);Antiseptic(防腐剤);Antiulcerogenic(抗潰瘍);Astringent(収斂性);Candidicide;Depurative(浄化作用);Fungicide(殺菌剤、防カビ剤);Hemostat(止血剤);Hypotensive(低血圧);Immunostimulant(免疫賦活剤);Sedative(鎮静剤);Tonic(強壮剤);Trypanosomicide(抗トリパノソーマ薬);Uterotonic(子宮収縮薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Vinca minor L.	Anesthetic(麻酔薬);Antialzheimeran(抗アルツハイマー);Antibacterial(抗菌);Anticholinesterase(抗コリンエステラーゼ);Antidementic;Antilactagogue(抗催乳薬);Antiscorbutic(抗壊血病);Antispasmodic(鎮痙薬);Astringent(収斂性);Bitter(苦味);Bradycardiac(徐脈);Carminative(駆風薬);Cerebroprotective(脳保護);CNS depressant(中枢神経系抑制剤);Collyrium(洗眼液);Cytotoxic(細胞毒性);Depurative(浄化作用);Diuretic(利尿薬);Emetic(催吐薬);Emmenagogue(通経薬);Hemostat(止血剤);Hypoglycemic(低血糖);Hypotensive(低血圧);Immunodepressant(免疫抑制剤);Immunostimulant(免疫賦活剤);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Laxative(下剤);Leukocytopenogenic;Memorigenic;Negative chronotropic(陰性変時);Parasympatholytic(副交感神経遮断薬);Peristaltic(蠕動性);Phagocytotic(食作用);Philtre(媚薬);Sedative(鎮静剤);Sympathicolytic(交感神経遮断);Tonic(強壮剤);Vermicide(駆虫剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Vincetoxicum hirundinaria Medik.	Antiseptic(防腐剤);Antitumor(抗腫瘍);Diaphoretic(発汗剤);Digestive(消化器);Diuretic(利尿薬);Emetic(催吐薬);Emmenagogue(通経薬);Fungicide(殺菌剤、防カビ剤);Hemolytic(溶血性);Laxative(下剤);Paralytic(麻痺);Poison(毒);Toxic(毒性)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Viola odorata L.	Acaricide(ダニ駆除剤);Antibacterial(抗菌);Antiinflammatory(抗炎症);Antimycotic(抗真菌薬);Antipyretic(解熱薬);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitussive(鎮咳薬);Aperient(緩下剤);Cerebrosedative;CNS depressant(中枢神経系抑制剤);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Emollient(緩和剤);Expectorant(去痰薬);Fungicide(殺菌剤、防カビ剤);Hemolytic(溶血性);Hypnotic(睡眠薬);Hypotensive(低血圧);Laxative(下剤);Myorelaxant(筋肉弛緩薬);Nervine(神経鎮静薬);Secretolytic;Sedative(鎮静剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
