activity	activity_j
Aneuria	神経力欠乏(症)
Angina	扁桃炎
Angiogenic	血管新生
Angioprotective	血管保護
Angiotensin converting enzyme inhibitor	ACE阻害薬
Angiotensin II antagonist in peroxysomal atrial fibrillation	-
Angiotensin inhibitor	アンジオテンシン阻害剤
Angiotensin receptor blocker	アンジオテンシン受容体ブロッカー
Anhidrotic	制汗剤
Anorectic	食思減退薬、食欲抑制薬
Anorexia	食欲不振
Anorexia nervosa	神経性無食欲症
Anospasmodic	抗痙攣薬、鎮けい薬
Antacid	制酸薬
Antemetic	悪心[嘔吐]抑止の
Anthelminthic	駆虫薬、虫下し
Anti-5-hydroxytryptophan	抗5-ヒドロキシトリプトファン
Anti-benign prostatic hyperplasia 	良性前立腺肥大抑制
Anti-central nervus system tremors	中枢神経系振戦抑制
Anti-Crohn's	反クローン病
Anti-epstein-Barr virus 	抗EBウイルス
Anti-GABA-nergic	抗GABA作働性
Anti-HIV	抗HIV
Anti-HIV-integrase	抗HIV-インテグラーゼ
Anti-idiopathic Thrombocytopenic Purpura	抗特発性血小板減少性紫斑病
Anti-inflammatory bowel disease	抗炎症性腸疾患
Anti-methicillin-resistant Staphylococcus aureus	抗メチシリン耐性黄色ブドウ球菌
Anti-multiple drug resistance	抗多剤耐性
Anti-nitric oxide	抗一酸化窒素
Anti-Pre Menstrual Syndrome	月経前症候群
Anti-Spina Bifida	抗二分脊椎
Anti-tumor necrosis factor	抗腫瘍壊死因子
Anti-tumor necrosis factor alpha	抗腫瘍壊死因子アルファ
Antiabortifacient	抗流産薬
Antiabsorbent	抗吸収薬
Antiacetylcholine	抗アセチルコリン
Antiacetylcholinesterase	抗アセチルコリンエステラーゼ
Antiacne	にきび
Antiaddictive	抗習慣性
Antiadenosine	-
Antiadhesive	付着防止
Antiadrenergic	抗アドレナリン
Antiadrogenic	-
Antiaflatoxin	抗アフラトキシン
Antiaggregant	抗血小板剤
Antiaging	アンチエイジング
Antialcoholic	反アルコール
Antiallergic	抗アレルギー
Antialopecic	抗脱毛
Antialzheimeran	抗アルツハイマー
Antiamnesic	抗健忘
Antiamphetamine	抗中枢神経興奮薬
Antiamylase	抗アミラーゼ
Antiamyloid	抗アミロイド
Antianaphylactic	抗アナフィラキシー
Antiandrogenic	抗アンドロゲン
Antianemic	抗貧血
Antianginal	抗狭心症
Antiangiogenic	抗血管新生
Antianoxic	抗酸素欠乏症
Antiaphrodisiac	抗性欲剤
Antiapoptotic	抗アポトーシス
Antiappetant	-
Antiarachidonate	抗アラキドン酸
Antiaromatase	抗アロマターゼ、エストロジェン抑制
Antiarrhythmic	不整脈治療剤
Antiartherogenic	アテローム産生抑制性
Antiarthritic	抗関節炎薬
Antiascites	腹水抑制性
Antiasthmatic	抗ぜんそく
Antiatherogenic	抗動脈硬化
Antiatherosclerotic	抗アテローム硬化性
Antibabesial	抗バベシア
Antibacterial	抗菌
Antibilious	抗胆汁症
Antibiotic	抗生物質
Antiblastocytic	-
Antiblennorrhagic	抗膿漏薬
Antiblister	抗水泡症
Antibradykinin	抗ブラジキニン
Antibronchitic	抗気管支炎
Antibutylcholinesterase	抗ブチルコリンエステラーゼ
Anticancer	抗ガン
Anticancer, breast	抗ガン、乳ガン
Anticancer, colon	抗ガン、結腸
Anticancer, lung	抗ガン、肺
Anticancer, mouth	抗ガン、口腔
Anticancer, oral	抗ガン、経口
Anticancer, pancreas	抗ガン、膵臓
Anticancer, prostate	抗ガン、前立腺
Anticancer, skin	抗ガン、皮膚
Anticancer, uterine	抗ガン、子宮
Anticapillary	抗毛細血管
Anticapillary Fragility	抗毛細血管脆弱性
Anticarcinogenic	抗発ガン性
Anticardiotonic	抗強心
Anticariogenic	う蝕
Anticatalase	抗カタラーゼ
Anticatarrhal	カタル治療剤
Anticatatonic	抗緊張型統合失調症
Anticatecholamine	抗カテコールアミン
Anticathartic	抗便通薬
Anticellulitis	抗蜂巣炎
Anticervisotic	-
Anticheilitic	抗口唇炎
Antichemotactic	抗化学走性
Anticholera	抗コレラ
Anticholeretic	抗利胆薬、胆汁排出抑制
Anticholestatic	胆汁鬱帯抑制
Anticholinergic	抗コリン作用薬
Anticholinesterase	抗コリンエステラーゼ
Antichronotropic	抗不整脈
Antichymotryptic	抗キモトリプシン
Anticlastogenic	抗染色体異常誘発
Anticoagulant	抗凝固剤
Anticoagulase	抗コアグラーゼ、抗血漿凝固
Anticolitic	抗大腸炎
Anticollagen	抗コラーゲン
Anticomplement	抗補体
Anticonvulsant	抗けいれん薬、抗痙攣薬
Anticonvulsive	鎮痙性
Anticoronary	抗冠状動脈性心疾患
Anticurare	抗クラーレ、クラーレ（植物）による筋肉麻痺
Anticuraroid	抗クラーレ、クラーレ（植物）による筋肉麻痺
Anticystic	抗嚢胞性
Antidandruff	ふけ予防
Antidecubitic	抗褥瘡
Antideiodinater	-
Antidementic	-
Antidemic	腫れ抑制
Antidepressant	抗鬱剤
Antidermatitic	抗皮膚炎
Antidermatophytic	抗糸状菌
Antidiabetic	抗糖尿病薬
Antidiaphoretic	抗発汗性
Antidiarrheal	止瀉薬
Antidiarrheic	下痢止め
Antidiphtheric	抗ジフテリア
Antidipsomaniac	抗アルコール依存
Antidiptheric	抗ジフテリア
Antidiuretic	抗利尿薬
Antidopamine	抗ドーパミン
Antidotal	解毒
Antidote	解毒剤
Antidote (abrin)	解毒剤、アブリン
Antidote (alcohol)	解毒剤、アルコール
Antidote (alkaloid)	解毒剤、アルカロイド
Antidote (aluminum)	解毒剤、アルミニウム
Antidote (araceae)	解毒剤、サトイモ科
Antidote (arsenic)	解毒剤、ヒ素
Antidote (atropine)	解毒剤、アトロピン
Antidote (barbituate)	解毒剤、バルビタール
Antidote (beryllium)	解毒剤、ベリリウム
Antidote (cadmium)	解毒剤、カドミウム
Antidote (Cassava)	解毒剤、キャッサバ
Antidote (cicuta)	解毒剤、シカッタ（毒芹）
Antidote (cinnabar)	解毒剤、辰砂
Antidote (crab)	解毒剤、カニ
Antidote (curare)	解毒剤、クラーレ（植物）
Antidote (daylily)	解毒剤、ワスレグサ
Antidote (fish poison)	解毒剤、魚毒
Antidote (fish)	解毒剤、魚
Antidote (fluorine)	解毒剤、フッ素
Antidote (food poisoning)	解毒剤、食中毒
Antidote (hemlock)	解毒剤、ドクニンジン
Antidote (Hg)	解毒剤、水銀
Antidote (hippomane)	解毒剤、ヒッポマネ属
Antidote (Jatropha)	解毒剤、ジャトロファ
Antidote (lead)	解毒剤、鉛
Antidote (mercury)	解毒剤、水銀
Antidote (morphine)	解毒剤、モルヒネ
Antidote (mushroom)	解毒剤、キノコ
Antidote (narcotic)	解毒剤、麻薬
Antidote (narcotics)	解毒剤、麻薬
Antidote (nettle)	解毒剤、イラクサ
Antidote (nicotine)	解毒剤、ニコチン
Antidote (nux-vomica)	解毒剤、ホミカ
Antidote (opiate)	解毒剤、麻薬
Antidote (opium)	解毒剤、アヘン
Antidote (paraquat)	解毒剤、パラコート
Antidote (physostigmine)	解毒剤、フィソスチグミン
Antidote (poison)	解毒剤、毒
Antidote (quicksilver)	解毒剤、水銀
Antidote (Rhus)	解毒剤、ラス
Antidote (scorpion)	解毒剤、サソリ
Antidote (seafood poisoning)	解毒剤、シーフード中毒
Antidote (shellfish)	解毒剤、貝
Antidote (spider)	解毒剤、クモ
Antidote (stingray)	解毒剤、エイ
Antidote (Strophanthus)	解毒剤、ストロファンツス属
Antidote (strychnine)	解毒剤、ストリキニーネ
Antidote (varnish)	解毒剤、ニス
Antidyscratic	抗リウマチ
Antidysenteric	抗赤痢
Antiecbolic	分娩抑制
Antiecchymotic	抗斑状出血
Antieczemic	抗湿疹
Antiedemic	抗浮腫性
Antielastase	抗エラスターゼ
Antiemetic	制吐剤
Antiemmenagogue	月経抑止剤
Antiencephalitic	抗脳炎
Antiendotoxin	抗内毒素
Antienuretic	夜尿症薬
Antiepileptic	抗癲癇作用
Antierythemic	抗紅斑
Antiescherichia	抗大腸菌
Antiestrogenic	抗エストロゲン性
Antiexudative	抗浸潤性
Antifatigue	抗疲労
Antifeedant	摂食阻害剤
Antifertility	避妊
Antifibosarcomic	抗線維肉腫
Antifibrillatory	抗細
Antifibrinolytic	抗線維素溶解薬
Antifibrositic	抗結合組織炎
Antifibrotic	抗線維化
Antifilaric	抗フィラリア
Antiflu	抗インフルエンザ
Antifumitory	抗フマリア(植物の一種）
Antifuruncular	抗癤
Antigalactic	乳汁分泌抑制剤
Antigastritic	抗胃炎
Antigenotoxic	抗遺伝毒性
Antigiardial	抗ランブル鞭毛虫
Antigingivitic	抗歯肉炎
Antiglaucomic	抗緑内障性
Antiglioma	抗神経膠腫
Antiglucocorticoid	抗糖質コルチコイド
Antigluconeogenic	-
Antiglucosyltransferase	抗グルコシルトランスフェラーゼ
Antiglucuronidase	抗グルクロニダーゼ
Antiglutamate	グルタミン酸抑制
Antigonadotropic	抗性腺
Antigonorrheal	抗淋病
Antigout	抗痛風
Antigranulation	抗肉芽形成
Antigranuloma	抗肉芽腫
Antihalitosic	口臭予防
Antihelicobacter	抗ヘリコバクテリア
Antihemolytic	抗溶血性
Antihemorrhagic	抗出血性
Antihemostatic	抗止血
Antihepatitic	抗肝炎
Antihepatomic	-
Antihepatosis	抗肝臓症
Antihepatotoxic	抗肝毒性
Antiherpetic	抗ヘルペス
Antihidrotic	汗止め
Antihistaminic	抗ヒスタミン薬
Antihomocysteine	ホモステイン抑制
Antihormonal	抗ホルモン
Antihyaluronidase	抗ヒアルロニダーゼ
Antihydrotic	制汗剤
Antihyperglycemic	血糖降下
Antihyperlipidemic	抗脂質異常症
Antihypertensive	降圧剤
Antihyperthyroid	甲状腺機能亢進抑制
Antihyperuricemic	抗尿酸降下
Antihypoglycemic	抗低血糖
Antihypothyroid	抗甲状腺機能低下
Antihypoxic	抗低酸素
Antihyroid	抗甲状腺
Antihysteric	抗ヒステリー
Antiileus	抗腸閉塞
Antiimmunosuppressant	抗免疫抑制
Antiimplantation	抗移植性転移
Antiinfective	抗感染症薬
Antiinfertility	不妊症治療薬
Antiinflammatory	抗炎症
Antiinsomniac	不眠抑制
Antiintegrase	抗インテグラーゼ
Antiirritant	抗刺激薬
Antiischemic	抗虚血
Antiitch	かゆみ止め
Antilactagogue	抗催乳薬
Antileishmanic	抗レーシュマニア
Antileprotic	抗ハンセン菌薬
Antileukemic	抗白血病
Antileukocyte	抗白血球
Antileukocytopenic	抗白血球減少
Antileukotriene	抗ロイコトリエン
Antilipidemic	抗脂質異常症剤
Antilipolytic	抗脂肪分解
Antilipoperoxidant	抗リポペルオキシダント
Antilithic	抗結石
Antilymphedemic	抗リンパ水腫
Antilymphocytic	抗リンパ球
Antilymphosarcomic	リンパ腫
Antimaculitic	-
Antimastitic	抗乳腺炎
Antimastocytotic	-
Antimelanic	メラニン抑制
Antimelanogenic	抗メラニン形成
Antimelanomic	抗黒皮症
Antimetabolic	代謝拮抗
Antimetaplastic	抗化生性
Antimetastatic	抗転移
Antimicrobial	抗菌剤
Antimigraine	片頭痛
Antimitogenic	抗分裂促進
Antimitotic	抗有糸分裂
Antimononucleotic	-
Antimotility	腸運動抑制
Antimutagenic	抗突然変異性
Antimyasthenic	抗筋無力性
Antimycobacterial	抗ミコバクテリア
Antimycoplasmotic	抗マイコプラズマ
Antimycotic	抗真菌薬
Antimyelotoxic	抗骨髄毒性
Antimyotoxic	抗ミオトキシン（ヘビ毒）
Antinarcotic	麻薬拮抗性
Antinauseant	制吐性
Antinecrotic	抗壊死性
Antineoplastic	抗腫瘍性
Antinephrotic	抗ネフローゼ症
Antineuralgic	抗神経痛薬
Antineuramidase	抗ニューラミダーゼ
Antineuropathic	抗神経障害性
Antineurotic	抗神経症
Antinflammatory	抗炎症
Antinicotinic	抗ニコチン
Antinitration	抗ニトロ化
Antinitrosaminic	抗ニトロソアミン
Antinitrosating	抗ニトロソ化
Antinociceptive	抗侵害受容
Antinyctalopic	抗夜盲
Antiobesity	肥満
Antiodontalgic	歯痛止め
Antiolytic	抗不安剤
Antiophidic	抗ヘビ毒
Antiosteoporotic	骨粗鬆症治療
Antiotitic	抗耳炎性
Antioxalate	オキザロ酢酸抑制
Antioxidant	酸化防止剤
Antioxytocic	抗子宮収縮
Antiozenic	抗原性
Antiparalytic	麻痺治療薬
Antiparasitic	抗寄生虫性
Antiparkinsonian	抗パーキンソン病
Antipeptic	抗ペプシン
Antiperiodic	周期病薬
Antiperiodontotic	抗歯周炎
Antiperistaltic	蠕動抑制
Antiperoxidant	抗過酸化物質
Antiperoxidase	抗ペルオキシダーゼ
Antiperspirant	制汗剤
Antiphage	抗ファージ
Antiphagocytotic	抗ファゴサイトーシス
Antiphlebitic	抗静脈炎
Antiphlegmatic	喀痰抑制
Antiphotophobic	抗光恐怖症
Antipityriasic	解熱剤
Antiplaque	歯石防止
Antiplasmodial	抗変形菌
Antiplatelet	抗血小板物質
Antipneumonic	抗肺炎
Antipolio	抗ポリオ
Antipolyp	抗ポリプ
Antiporphyric	抗ポルフィリン症
Antiprogesteronic	抗プロゲステロン
Antiprolactin	抗プロラクチン
Antiproliferative	抗増殖性
Antiprostaglandin	抗プロスタグランジン
Antiprostaglandin-E2	抗プロスタグランジン-E2
Antiprostatic	抗前立腺
Antiproteinuric	抗タンパク尿
Antiproteolytic	抗タンパク質分解
Antiprotozoal	抗原虫薬
Antipsittacotic	抗オウム病クラミジア
Antipsoriatic	抗乾癬性関節炎
Antipsychotic	抗精神病薬
Antipyretic	解熱薬
Antirabies	抗狂犬病
Antiradiation	抗放射線
Antiradicular	抗神経根
Antirejection	拒絶反応抑制
Antiretinitic	-
Antiretinohemorrhagic	-
Antiretroviral	抗レトロウイルス薬
Antirheumatalgic	-
Antirheumatic	抗リウマチ剤
Antirhinoviral	抗リノウイルス
Antiribosomal	抗リボソーム
Antisalmonella	抗サルモネラ菌
Antisarcomic	-
Antisasmodic	抗痙性
Antischistosomal	抗住血吸虫
Antisciatic	抗坐骨
Antisclerotic	抗硬化
Antiscorbuti	-
Antiscorbutic	抗壊血病
Antiscrofula	抗腺病
Antiseborrheic	抗脂漏性
Antisecretagogue	抗分泌促進物質
Antisecretory	抗分泌
Antisenility	抗老人性痴呆症
Antiseptic	防腐剤
Antiserotonin	抗セロトニン
Antiserotoninergic	抗セロトニン作動性
Antishigella	抗シゲラ菌
Antisialagogue	抗唾液分泌促進薬
Antisickling	鎌状化薬
Antispasmodic	鎮痙薬
Antispermatogenic	抗精子形成
Antistaphylococcic	抗スタフィロコッカス菌
Antisterility	抗不妊
Antisteroidogenic	抗ステロイド産生
Antistomatitic	-
Antistress	抗ストレス
Antistroke	抗卒中
Antisubtilisin	-
Antisunburn	-
Antisuppurative	抗化膿性
Antisyncytial	抗シンシチウム
Antisyphilitic	駆梅薬
Antitelomerase	抗テロメラーゼ
Antitendinitic	抗腱炎
Antitermite	抗シロアリ
Antitestosterone	抗テストステロン
Antitetanic	抗破傷風
Antithiamin	抗チアミン
Antithrombic	抗血栓症
Trichophytosis	白癬症
Antithromboxane	抗トロンボキサン
Antithyroid	抗甲状腺薬
Antitoxic	抗毒素
Antitoxoplasmotic	-
Antitubercular	抗結核
Antitumor	抗腫瘍
Antitumor proliferation	抗拡散
Antitumor promoter	抗腫瘍プロモーター
Antitumor, breast	抗腫瘍、乳房
Antitumor, CNS	抗腫瘍、中枢神経系
Antitumor, colon	抗腫瘍、結腸
Antitumor, colorectal	抗腫瘍、大腸
Antitumor, lung	抗腫瘍、肺
Antitumor, prostate	抗腫瘍、前立腺
Antitumor, skin	抗腫瘍、皮膚
Antitumor, stomach	抗腫瘍、胃
Antitussive	鎮咳薬
Antityphoid	抗チフス
Antityrosinase	抗チロシナーゼ
Antiulcerogenic	抗潰瘍
Antiultraviolet	抗紫外線
Antiultraviolet-B	抗紫外線B
Antiuremic	抗尿毒性
Antiurethrotic	-
Antiuronic acid	抗ウロン酸
Antiussive	抗鎮咳性
Antivagal	抗迷走神経
Antivaginitic	-
Antivenereal	抗性病
Antivenom	抗毒素
Antivenom (snake)	抗毒素（ヘビ）
Antiviral	抗ウイルス薬
Antiwrinkle	抗しわ
Antiyeast	抗酵母
Anuria	無尿
Anxiety	不安症
Anxiogenic	不安惹起
Anxiolytic	抗不安薬
AP-1 inhibitor	AP-1阻害剤
Aperient	緩下剤
Aperitif	食前酒
Aperitive	食欲増進薬
Aphicide	アブラムシ駆除剤
Aphrodisiac	媚薬
Aphrodisiac, female	媚薬、女性
Aphtha	アフタ
Apifuge	-
Apoplexy	卒中
Apoptotic	アポトーシス
Aposteme	-
Appendicitis	虫垂炎
Appetant	-
Aquaretic	水利尿
Aromatase inhibitor	アロマターゼ阻害剤
Aromatic	芳香
Arrhythmia	不整脈
Arrhythmogenic	催不整脈性
Artemicide	-
Arteriodilator	-
Arteriorelaxant	-
Arteriosedative	-
Arthorosis	関節症
Arthorosis (Pain)	関節症痛み
Arylamine-N-Acetyl-transferase-Inhibitor	アリール-N-アセチル-トランスフェラーゼ阻害剤
Arylsulfatase Inhibitor	アリールスルファターゼ阻害剤
Ascaricide	殺回虫剤
Ascites	腹水症
Aspergillus	アスペルギルス症
Asthenia	無力症
Asthma	喘息
Astringent	収斂性
Ataxigenic	-
Atherosclerosis	アテローム硬化症
Athlete's Foot	みずむし
Atony	アトニー
ATP-citrate lyase inhibitor	ATPのクエン酸リアーゼ阻害剤
ATPase inhibitor	ATPアーゼ-阻害剤
Atticide	-
Autoimmune Disease	自己免疫疾患
Avicide	殺鳥剤
Backache	背中の痛み
Bactericide	殺菌剤
Bacteristat	静菌剤
Balsamic	バルサム
Bat repellant	コウモリ忌避剤
Bechic	咳
Bedsore	床ずれ
Benign prostatic hyperplasia	前立腺肥大症
Beta-blocker	Beta-ブロッカー
Beta-glucosidase-inhibitor	Beta-グルコシダーゼ阻害剤
Beta-glucuronidase inhibitor	Beta-グルクロニダーゼ阻害剤
Beta-lactamase Inhibitor	Beta-ラクタマーゼ阻害剤
Bifidogenic	ビフィズス菌特異
Bilharzia	住血吸虫の寄生による感染症
Biliousness	胆汁性、短気
Bilirubinolytic	-
Bite	-
Bitter	苦味
Bladder Ailment	膀胱の病気
Bladder Stone	膀胱結石
Bleeding	出血
Blennorrhagia	淋菌性
Blennorrhea	膿漏
Blister	水疱
Bloat	鼓脹症
Bloating	膨満
Blood disorder	血液疾患
Blood thinner	血液希釈剤
Boil	おでき
Borborygmus	腹鳴
Bovinifuge	-
Bowen's Disease	ボーエン病
Bradycardiac	徐脈
Bradykinin regulator	ブラジキニンレギュレータ
Bright's disease	ブライト病
Bronchiectasis	気管支拡張症
Broncho-Vasodilator	気管血管拡張
Bronchoconstrictor	気管支収縮剤
Bronchodilator	気管支拡張剤
Broncholytic	気管支拡張
Bronchorelaxant	気管支弛緩
Bronchosecretolytic	-
Bronchosis	気管支炎
Bronchospasm	気管支けいれん、気管支痙攣
Bronchospasmogenic	-
Bronchostimulant	-
Brucellosis	ブルセラ症
Bruise	打撲傷
Bug bite	虫刺され
Bulking	バルキング
Bunion	バニオン
Bursitis	滑液包炎
Cachexia	悪液質
Cadidicide	-
Cadioactive	-
Calcium antagonist	カルシウム拮抗薬
Calcium blocker	カルシウムブロッカー
Calcium channel blocker	カルシウムチャネルブロッカー
Calculus	結石
Callus	皮膚硬結、たこ
Callus promoter	カルス-プロモーター
Calmative	鎮静効果のある
cAMP inhibitor	cAMP阻害剤
cAMP-depressant	cAMPを抑制
cAMP-genic	-
cAMP-Phosphodiesterase inhibitor	cAMP-ホスホジエステラーゼ阻害剤
Cancer	ガン
Cancer Preventive	ガン予防
Cancer, abdomen	ガン、腹部
Cancer, anus	ガン、肛門
Cancer, bladder	ガン、膀胱
Cancer, bone	ガン、骨
Cancer, breast	ガン、胸部
Cancer, brest	ガン、乳房(腺)
Cancer, cervix	ガン、子宮頚
Cancer, colon	ガン、結腸
Cancer, diaphragm	ガン、横隔膜
Cancer, duodenum	ガン、十二指腸
Cancer, ear	ガン、耳
Cancer, esophagus	ガン、食道
Cancer, eye	ガン、目
Cancer, face	ガン、顔
Cancer, foot	ガン、足
Cancer, gland	ガン、腺
Cancer, groin	ガン、鼠径部
Cancer, gum	ガン、歯肉
Cancer, head	ガン、頭
Cancer, intestine	ガン、腸
Cancer, joint	ガン、関節
Cancer, kidney	ガン、腎臓
Cancer, labial	ガン、口唇
Cancer, larynx	ガン、喉頭
Cancer, leg	ガン、下腿
Cancer, liver	ガン、肝臓
Cancer, lung	ガン、肺
Cancer, mesentery	ガン、腸間膜
Cancer, mouth	ガン、口腔
Cancer, nasopharynx	ガン、鼻咽頭
Cancer, neck	ガン、頚部
Cancer, nose	ガン、鼻
Cancer, pancreas	ガン、膵臓
Cancer, parotid	ガン、耳下
Cancer, penis	ガン、陰茎
Cancer, prostate	ガン、前立腺
Cancer, rectum	ガン、直腸
Cancer, sinew	ガン、筋肉
Cancer, sinus	ガン、洞
Cancer, skin	ガン、皮膚
Cancer, spleen	ガン、脾臓
Cancer, stomach	ガン、胃
Cancer, teat	ガン、乳首
Cancer, testes	ガン、精巣
Cancer, testicle	ガン、睾丸
Cancer, throat	ガン、咽喉
Cancer, tonsil	ガン、扁桃
Cancer, uterus	ガン、子宮
Cancer, uvula	ガン、口蓋垂
Cancer, vagina	ガン、膣
Cancer, vulva	ガン、陰門
Candidicide	-
Candidistat	-
Canicide	-
Canifuge (dog repellant)	犬忌避剤
Canker	口囲潰瘍
Canker sore	口内炎、口唇潰瘍
Capilary fragility	毛細血管脆弱症
Capillarifortificant	-
Capillariprotective	-
Capillary tonic	キャピラリートニック
Carbuncle	癰、カルブンケル
Carcinogen	発ガン物質
Carcinogenic	発ガン性
Carcinomata	ガン腫
Carcinostatic	制ガン剤
Cardiac	心臓
Cardioactive	心臓に影響を与える
Cardiodepressant	心抑制
Cardiopathy	心疾患
Cardioprotective	心臓保護
Cardiosedative	-
Cardiotonic	強心剤
Cardiotoxic	心臓毒性
Cardiovascular	心臓血管
Cardopathy	心臓障害
Caries	カリエス、骨瘍剤
Cariogenic	齲蝕原性
Carioprotective	-
Cariotonic	-
Carminative	駆風薬
Carmnative	-
Casein kinase II inhibitor	カゼインキナーゼIIの阻害剤
Caspase inducer	カスパーゼ誘導剤
Caspase stimulator	カスパーゼスティミュレータ
Caspase-3 inducer	カスパーゼ-3-低温
Catabolic	異化作用
Catacholamine inhibitor	カテコールアミン阻害剤
Catacholaminogenic	-
Cataleptic	強硬症
Cataract	白内障
Catarrh	カタル
Catechol-O-methyltransferase inhibitor	カテコール-O-メチルトランスフェラーゼ阻害剤
Catecholaminogenic	-
Cathartic	下剤
Caustic	腐食剤
Celiac	小児脂肪便症
Cell proliferant	細胞増殖
Cellulite	セリュライト
Cellulosis	-
Cercaricide	-
Cerebroprotective	脳保護
Cerebrosedative	-
Cerebrostimulant	-
Cerebrotonic	頭脳型
Cervicosis	子宮頚管炎
cGMP-phosphodiesterase inhibitor	cGMP-ホスホジエステラーゼ阻害剤
Chafing	摩擦により引き起こされた皮膚の痛みまたは炎症
Cheilosis	口角症
Chelator	キレート剤
Chemopreventive	化学防御
Chemopreventive (breast)	化学防御（乳房）
Chemopreventive (colon)	化学防御（コロン）
Chemosterilant	化学不妊剤
Chemotherapy	化学療法
Chest	胸郭
Chest ache	胸痛
Chest cold	咳かぜ
Chicken pox	水ぼうそう
Chilblains	しもやけ
Childbirth	分娩
Chill	冷え
Chitinase	キチナーゼ
Chitinolytic	キチン
Chlorosis	萎黄病(貧血)
Cholagogue	胆汁分泌促進薬
Cholecotropic	-
Cholecystokinetic	胆汁排出促進
Cholecystosis	胆嚢炎
Cholekinetic	利胆薬
Cholelithiasis	胆石症
Cholera	コレラ
Cholesteric	コレステリック
Cholicomimetic	-
Cholimimetic	-
Cholinergic	コリン作動性
Cholinolytic	抗コリン性
Cholinomimetic	コリン作用薬
Chromhidrosis	色汗症
Chronic fatigue	慢性疲労
chronic fatigue syndrome	慢性疲労症候群
Chronotropic	周期変動
Chymotrypsin inhibitor	キモトリプシン阻害剤
Cicatrizant	瘢痕形成薬
Circuladepressant	-
Circulatory stimulant	循環器刺激
Circulodepressant	-
Circulosis	-
Circulostimulant	-
Circulotonic	-
Cirrhosis	硬変
Clastogenic	染色体異常誘発
Climacteric	更年期
Cluster headache	群発(性)頭痛
CNS depressant	中枢神経系抑制剤
CNS inhibitor	中枢神経系阻害剤
CNS-active	中枢神経系活性
CNS-deobstruent	中枢神経系閉塞物の排除
CNS-depressant	中枢神経系抑制剤
CNS-paralytic	中枢神経系麻痺
CNS-sedative	中枢神経系鎮静
CNS-stimulant	中枢神経系刺激剤
Cocarcinogen	発ガン補助物質
Coccidiosis	コクシジウム病
Cold	感冒
Colic	疝痛
Colic, liver	疝痛、肝臓
Colitis	大腸炎
Collagen inhibitor	コラーゲン阻害剤
Collagen protectant	コラーゲン保護剤
Collagen protective	コラーゲン保護
Collagen sparing	コラーゲン節約作用
