cid	metabolite	category	function	targetsp	reference
	9,12,15-Octadecatrienoic acid, methyl ester	Antidermatitic	Antiacne		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
	9,12,15-Octadecatrienoic acid, methyl ester	Antidermatitic	Antieczemic		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
C00002591	(-)-Cubebin;(8R,8'R,9S)-Cubebin;beta-Cubebin;(-)-beta-Cubebin	Anti-inflammatory	Antiinflammatory		Elfahmi,Phytochemical and Biosynthetic Studies of Lignans: With a Focus on Indonesian Medicinal Plants. University Library Groningen][Host],(2006)
C00002591	(-)-Cubebin;(8R,8'R,9S)-Cubebin;beta-Cubebin;(-)-beta-Cubebin	Antitrypanosomal	Trypanocidal		Elfahmi,Phytochemical and Biosynthetic Studies of Lignans: With a Focus on Indonesian Medicinal Plants. University Library Groningen][Host],(2006)
C00002598	(-)-Deoxypodorhizone;Dihydroanhydropodorhizol;(-)-Yatein;Yatein	Anticancer	Anticancer		Elfahmi,Phytochemical and Biosynthetic Studies of Lignans: With a Focus on Indonesian Medicinal Plants. University Library Groningen][Host],(2006)
C00002608	Hinokinin;(-)-Hinokinin;Hinoquinin;(-)-Hinoquinin	Analgesic	Analgesic		Elfahmi,Phytochemical and Biosynthetic Studies of Lignans: With a Focus on Indonesian Medicinal Plants. University Library Groningen][Host],(2006)
C00002608	Hinokinin;(-)-Hinokinin;Hinoquinin;(-)-Hinoquinin	Anti-inflammatory	Antiinflammatory		Elfahmi,Phytochemical and Biosynthetic Studies of Lignans: With a Focus on Indonesian Medicinal Plants. University Library Groningen][Host],(2006)
C00002762	Myristicin	Anti-inflammatory	Antiinflammatory		Ozaki et al.,Japanese journal of pharmacology,49(2),(1989),155-163.
C00003093	Oleuropein	Antihyperlipidemic	Hypocholesterolemic and hypoglycaemic activities		Silva et al.,Food Science and Technology International,12(5),(2006),385-395.
C00003093	Oleuropein	Anti-inflammatory	Anti-inflammatory		Silva et al.,Food Science and Technology International,12(5),(2006),385-395.
C00003093	Oleuropein	Antioxidant	Antioxidant		Silva et al.,Food Science and Technology International,12(5),(2006),385-395.
C00003147	Humulene;(+/-)-alpha-Humulene;alpha-Caryophyllene	Anti-inflammatory	Antiinflammatory		Bhuiyan et al.,Bangladesh Journal of Pharmacology,4(1),(2008),9-12
C00003147	Humulene;(+/-)-alpha-Humulene;alpha-Caryophyllene	Antimicrobial	Antimicrobial		Bhuiyan et al.,Bangladesh Journal of Pharmacology,4(1),(2008),9-12
C00003147	Humulene;(+/-)-alpha-Humulene;alpha-Caryophyllene	Antioxidant	Antioxidant		Bhuiyan et al.,Bangladesh Journal of Pharmacology,4(1),(2008),9-12
C00003147	Humulene;(+/-)-alpha-Humulene;alpha-Caryophyllene	Antiulcerogenic	Anti-ulceration		Bhuiyan et al.,Bangladesh Journal of Pharmacology,4(1),(2008),9-12
C00003168	Patchouli alcohol	Antibacterial	Antibacterial		Hu et al.,Journal of pharmaceutical and biomedical analysis,42(2),(2006),200-206
C00003256	Eremanthine;(-)-Eremanthin	Antidiabetic	Antidiabetic activity		Eliza et al.,Chemico-biological interactions,182(1),(2009),67-72
C00003256	Eremanthine;(-)-Eremanthin	Antihyperlipidemic	Antilipidemic activity		Eliza et al.,Chemico-biological interactions,182(1),(2009),67-72
C00003467	Phytol;trans-Phytol	Anticancer	Anti cancerous		Deepak et al.,American Journal of Advanced Drug Delivery,2(4),(2014),pp484-492
C00003765	alpha-Carotene	Antioxidant	Antioxidant and may have protective properties againts certain forms of cancer and casdiovascular diseases		Kidmose et al.,Journal of Food Science,69(9(,(2004),S388-S394.
C00003776	Lutein;(all-E)-Lutein;(3R,3'R,6'R)-beta,epsilon-Carotene-3,3'-diol;all-trans-(+)-Xanthophyll	Anticancer	Anticancer activity, degenerative diseases of the eye		Tsao et al.,Journal of chromatography A,1045(1),(2004),65-70
C00003817	Apigenin;5,7,4'-Trihydroxyflavone	Anti-inflammatory	Antiinflammatory		Paval et al.,Clinics,64(4),(2009),357-362
C00003936	Demethylnobiletin;5-Hydroxy-6,7,8,3',4'-pentamethoxyflavone;2-(3,4-Dimethoxyphenyl)-5-hydroxy-6,7,8-trimethoxy-4H-1-benzopyran-4-one	Analgesic	Analgesic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00003936	Demethylnobiletin;5-Hydroxy-6,7,8,3',4'-pentamethoxyflavone;2-(3,4-Dimethoxyphenyl)-5-hydroxy-6,7,8-trimethoxy-4H-1-benzopyran-4-one	Antiallergic	Anti-allergic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00003936	Demethylnobiletin;5-Hydroxy-6,7,8,3',4'-pentamethoxyflavone;2-(3,4-Dimethoxyphenyl)-5-hydroxy-6,7,8-trimethoxy-4H-1-benzopyran-4-one	Anticancer	Anti-cancer activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00003936	Demethylnobiletin;5-Hydroxy-6,7,8,3',4'-pentamethoxyflavone;2-(3,4-Dimethoxyphenyl)-5-hydroxy-6,7,8-trimethoxy-4H-1-benzopyran-4-one	Anti-inflammatory	Anti-inflammatory activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00003936	Demethylnobiletin;5-Hydroxy-6,7,8,3',4'-pentamethoxyflavone;2-(3,4-Dimethoxyphenyl)-5-hydroxy-6,7,8-trimethoxy-4H-1-benzopyran-4-one	Antimicrobial	Anti-microbial activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00003936	Demethylnobiletin;5-Hydroxy-6,7,8,3',4'-pentamethoxyflavone;2-(3,4-Dimethoxyphenyl)-5-hydroxy-6,7,8-trimethoxy-4H-1-benzopyran-4-one	Antioxidant	Anti-oxidant activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00004508	Diosmetin 7-neohesperidoside;Neodiosmin;7-[[2-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one	Analgesic	Analgesic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00004508	Diosmetin 7-neohesperidoside;Neodiosmin;7-[[2-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one	Antiallergic	Anti-allergic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00004508	Diosmetin 7-neohesperidoside;Neodiosmin;7-[[2-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one	Anticancer	Anti-cancer activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00004508	Diosmetin 7-neohesperidoside;Neodiosmin;7-[[2-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one	Anti-inflammatory	Anti-inflammatory activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00004508	Diosmetin 7-neohesperidoside;Neodiosmin;7-[[2-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one	Antimicrobial	Anti-microbial activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00004508	Diosmetin 7-neohesperidoside;Neodiosmin;7-[[2-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one	Antioxidant	Anti-oxidant activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00004803	Natsudaidain;3-Hydroxy-3',4',5,6,7,8-hexamethoxyflavone;2-(3,4-Dimethoxyphenyl)-3-hydroxy-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one	Analgesic	Analgesic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000982	Naringenin;(-)-Naringenin	Antimicrobial	Anti-microbial activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000982	Naringenin;(-)-Naringenin	Antioxidant	Anti-oxidant activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000983	Naringin	Analgesic	Analgesic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000983	Naringin	Antiallergic	Anti-allergic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000983	Naringin	Anticancer	Anti-cancer activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000983	Naringin	Anti-inflammatory	Anti-inflammatory activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000983	Naringin	Antimicrobial	Anti-microbial activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000983	Naringin	Antioxidant	Anti-oxidant activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000984	Narirutin	Analgesic	Analgesic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000984	Narirutin	Antiallergic	Anti-allergic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000984	Narirutin	Anticancer	Anti-cancer activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000984	Narirutin	Anti-inflammatory	Anti-inflammatory activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000984	Narirutin	Antimicrobial	Anti-microbial activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000984	Narirutin	Antioxidant	Anti-oxidant activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000986	Neoeriocitrin	Analgesic	Analgesic activity		Kawaii et al.,Journal of agricultural and food chemistry,48(9(,(2000),3865-3871
C00000986	Neoeriocitrin	Antiallergic	Anti-allergic activity		Kawaii et al.,Journal of agricultural and food chemistry,48(9(,(2000),3865-3871
C00000986	Neoeriocitrin	Anticancer	Anti-cancer activity		Kawaii et al.,Journal of agricultural and food chemistry,48(9(,(2000),3865-3871
C00000986	Neoeriocitrin	Anti-inflammatory	Anti-inflammatory activity		Kawaii et al.,Journal of agricultural and food chemistry,48(9(,(2000),3865-3871
C00000986	Neoeriocitrin	Antimicrobial	Anti-microbial activity		Kawaii et al.,Journal of agricultural and food chemistry,48(9(,(2000),3865-3871
C00000986	Neoeriocitrin	Antioxidant	Anti-oxidant activity		Kawaii et al.,Journal of agricultural and food chemistry,48(9(,(2000),3865-3871
C00000987	Neohesperidin	Analgesic	Analgesic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000987	Neohesperidin	Antiallergic	Anti-allergic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000987	Neohesperidin	Anticancer	Anti-cancer activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000987	Neohesperidin	Anti-inflammatory	Anti-inflammatory activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000987	Neohesperidin	Antimicrobial	Anti-microbial activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00000987	Neohesperidin	Antioxidant	Anti-oxidant activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00001076	Nobiletin;3',4',5,6,7,8-Hexamethoxyflavone	Analgesic	Analgesic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00001076	Nobiletin;3',4',5,6,7,8-Hexamethoxyflavone	Antiallergic	Anti-allergic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00001076	Nobiletin;3',4',5,6,7,8-Hexamethoxyflavone	Anticancer	Anti-cancer activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00001076	Nobiletin;3',4',5,6,7,8-Hexamethoxyflavone	Anti-inflammatory	Anti-inflammatory activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00001076	Nobiletin;3',4',5,6,7,8-Hexamethoxyflavone	Antimicrobial	Anti-microbial activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00001076	Nobiletin;3',4',5,6,7,8-Hexamethoxyflavone	Antioxidant	Anti-oxidant activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00001105	Tangeretin;4',5,6,7,8-Pentamethoxyflavone	Analgesic	Analgesic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00001105	Tangeretin;4',5,6,7,8-Pentamethoxyflavone	Antiallergic	Anti-allergic activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00001105	Tangeretin;4',5,6,7,8-Pentamethoxyflavone	Anticancer	Anti-cancer activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00001105	Tangeretin;4',5,6,7,8-Pentamethoxyflavone	Anti-inflammatory	Anti-inflammatory activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00001105	Tangeretin;4',5,6,7,8-Pentamethoxyflavone	Antimicrobial	Anti-microbial activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00001105	Tangeretin;4',5,6,7,8-Pentamethoxyflavone	Antioxidant	Anti-oxidant activity		Pellati et al.,Phytochemical Analysis,15(4),(2004),220-225
C00001110	Vitexin;8-D-Glucosyl-4',5,7-trihydroxyflavone;Apigenin 8-C-glucoside;8-beta-D-Glucopyranosyl-5,7-dihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one	Anti-inflammatory	Antiinflammatory		Paval et al.,Clinics,64(4),(2009),357-362
C00001283	Falcarindiol	Anti-inflammatory	Anti-inflammatory		Kidmose et al.,Journal of Food Science,69(9(,(2004),S388-S394.
C00001283	Falcarindiol	Antituberculotic	Antituberculosis		Kidmose et al.,Journal of Food Science,69(9(,(2004),S388-S394.
C00001283	Falcarindiol	Antitumor	Anti-tumor		Kidmose et al.,Journal of Food Science,69(9(,(2004),S388-S394.
C00001284	(-)-Falcarinol;Falcarinol;Panaxynol	Anti-inflammatory	Anti-inflammatory		Kidmose et al.,Journal of Food Science,69(9(,(2004),S388-S394.
C00001284	(-)-Falcarinol;Falcarinol;Panaxynol	Antituberculotic	Antituberculosis		Kidmose et al.,Journal of Food Science,69(9(,(2004),S388-S394.
C00001284	(-)-Falcarinol;Falcarinol;Panaxynol	Antitumor	Anti-tumor		Kidmose et al.,Journal of Food Science,69(9(,(2004),S388-S394.
C00001822	(+)-Boldine;Boldine;d-Boldine	Antithrombotic	Antiplatelet aggregration and vasorelaxing activity		Yang et al.,Helvetica chimica acta,88(9),(2005),2523-2526
C00002591	(-)-Cubebin;(8R,8'R,9S)-Cubebin;beta-Cubebin;(-)-beta-Cubebin	Analgesic	Analgesic		Elfahmi,Phytochemical and Biosynthetic Studies of Lignans: With a Focus on Indonesian Medicinal Plants. University Library Groningen][Host],(2006)
	Phytane	Antimicrobial	Antimicrobial activity towards the tested microorganisms	Methilin-resistant Staphylococcus aureus (MRSA)	Ahmad et al.,Molecules,19,(2014),19220-19242
	Phytane	Antimicrobial	Antimicrobial activity towards the tested microorganisms	Salmonella entiriditis	Ahmad et al.,Molecules,19,(2014),19220-19242
	Phytane	Antioxidant	Leaf and stem have the highest antioxidant activity		Ahmad et al.,Molecules,19,(2014),19220-19242
	Piperidine	Biomarker	Nutritional and metabolic diseases (Cystinuria)		Shirasu et al.,J. Biochem.,150,(2011),257_266
	Propyl 3-methylbutanoate	Biomarker	The Digestive System (Irritable Bowel Syndrome)		Ahmed et al.,PLoS ONE,8,(2013),e58204
