"activityLabel","chebiID"
"4-Methylsufinyl-3-butenyl glucosinolate","CHEBI_79367"
"4-Methylsufinyl-3-butenyl glucosinolate","CHEBI_5416"
"Glucoraphenin","CHEBI_79367"
"Glucoraphenin","CHEBI_5416"
"(N-Sulfoindol-3-yl)methylglucosinolate","CHEBI_27842"
"Victorin C","CHEBI_73154"
"Riboflavin","CHEBI_17015"
"Muscapurpurin","CHEBI_7033"
"Beiwutine","CHEBI_3004"
"Lappaconitine","CHEBI_6378"
"Thalicsessine","CHEBI_9511"
"Akuammine","CHEBI_2532"
"Rhynchophylline","CHEBI_70069"
"Vobasine","CHEBI_10015"
"Amurine;(+)-Amurine","CHEBI_2689"
"(+)-Amurine","CHEBI_2689"
"Amurine","CHEBI_2689"
"(-)-Argemonine","CHEBI_80"
"Chelirubine;Bocconine","CHEBI_17031"
"Bocconine","CHEBI_17031"
"Chelirubine","CHEBI_17031"
"Morphine;(-)-Morphine","CHEBI_17303"
"(-)-Morphine","CHEBI_17303"
"Morphine","CHEBI_17303"
"Narcotoline","CHEBI_7482"
"Pellotine","CHEBI_107"
"Phaeantharine","CHEBI_8038"
"Tiliacorine","CHEBI_9597"
"Lycodine","CHEBI_6591"
"Amphibine A","CHEBI_2680"
"Mucronine A","CHEBI_7012"
"Arecaidine","CHEBI_2813"
"(+)-Prosopinine","CHEBI_43"
"Europine","CHEBI_4943"
"Monocrotaline","CHEBI_6980"
"Usaramine","CHEBI_9912"
"Acronycine","CHEBI_2437"
"Dictamine;Dictamnine","CHEBI_4512"
"Dictamine","CHEBI_4512"
"Dictamnine","CHEBI_4512"
"Dubamine","CHEBI_4721"
"Dubinidine","CHEBI_4722"
"Evoxine;7-(2,3-Dihydroxy-3-methyl-butyl)oxy-8-methyldictamnine","CHEBI_4952"
"7-(2,3-Dihydroxy-3-methyl-butyl)oxy-8-methyldictamnine","CHEBI_4952"
"Evoxine","CHEBI_4952"
"Flindersine","CHEBI_5094"
"Hydroquinidine","CHEBI_5792"
"Leiokinine A","CHEBI_6404"
"(-)-N-Methylcytisine;N-Methylcytisine;Caulophylline","CHEBI_3474"
"(-)-N-Methylcytisine","CHEBI_3474"
"Caulophylline","CHEBI_3474"
"N-Methylcytisine","CHEBI_3474"
"Cyclovirobuxine C","CHEBI_4032"
"Zygadenine","CHEBI_10130"
"Apoatropine","CHEBI_2780"
"Cocaine","CHEBI_27958"
"Androcymbine","CHEBI_2708"
"Candicine","CHEBI_3350"
"Sirodesmin H","CHEBI_9165"
"2,8-Dihydroxy-3,4,7-trimethoxy-dibenzofuran","CHEBI_961"
"Moracin A","CHEBI_6994"
"Mulberrofuran C","CHEBI_7018"
"beta-Pyrufuran","CHEBI_10439"
"Psi-rhodomyrtoxin","CHEBI_10635"
"Toxyl angelate","CHEBI_9646"
"Aloesin;Aloe resin B","CHEBI_2608"
"Aloe resin B","CHEBI_2608"
"Aloesin","CHEBI_2608"
"Perforamone D;Ptaerochromenol","CHEBI_8623"
"Perforamone D","CHEBI_8623"
"Ptaerochromenol","CHEBI_8623"
"Herniarin;7-Methoxycoumarin","CHEBI_5679"
"7-Methoxycoumarin","CHEBI_5679"
"Herniarin","CHEBI_5679"
"Micromelin","CHEBI_6929"
"Rutamarin","CHEBI_8920"
"Aesculetin dimethyl ether;6,7-Dimethoxycoumarin;Scoparone","CHEBI_9055"
"6,7-Dimethoxycoumarin","CHEBI_9055"
"Aesculetin dimethyl ether","CHEBI_9055"
"Scoparone","CHEBI_9055"
"(-)-Phaseollinisoflavan","CHEBI_109"
"Pomiferin","CHEBI_8329"
"Wedelolactone;1,8,9-Trihydroxy-3-methoxycoumestan;5,11,12-Trihydroxy-7-methoxycoumestan","CHEBI_10037"
"1,8,9-Trihydroxy-3-methoxycoumestan","CHEBI_10037"
"5,11,12-Trihydroxy-7-methoxycoumestan","CHEBI_10037"
"Wedelolactone","CHEBI_10037"
"(-)-Cubebin;(8R,8'R,9S)-Cubebin;beta-Cubebin;(-)-beta-Cubebin","CHEBI_65684"
"(-)-Cubebin","CHEBI_65684"
"(-)-beta-Cubebin","CHEBI_65684"
"(8R,8'R,9S)-Cubebin","CHEBI_65684"
"beta-Cubebin","CHEBI_65684"
"Diphyllin","CHEBI_4645"
"Eudesobovatol A","CHEBI_4915"
"Podophyllotoxone","CHEBI_8281"
"Schisantherin A","CHEBI_9048"
"Surinamensin","CHEBI_9365"
"(+)-Lirioresinol B;(+)-Syringaresinol","CHEBI_47"
"(+)-Lirioresinol B","CHEBI_47"
"(+)-Syringaresinol","CHEBI_47"
"Anacardic acid","CHEBI_2696"
"Bilobol","CHEBI_3104"
"4-Methylphenol;p-Cresol","CHEBI_17847"
"4-Methylphenol","CHEBI_17847"
"p-Cresol","CHEBI_17847"
"Syringol","CHEBI_955"
"Ginkgoic acid","CHEBI_5354"
"2-Phenylethanol;Phenethyl alcohol;Phenylethyl alcohol;beta-Phenethyl alcohol;Benzyl ethyl alcohol;Benzeneethanol","CHEBI_49000"
"2-Phenylethanol","CHEBI_49000"
"Benzeneethanol","CHEBI_49000"
"Benzyl ethyl alcohol","CHEBI_49000"
"Phenethyl alcohol","CHEBI_49000"
"Phenylethyl alcohol","CHEBI_49000"
"beta-Phenethyl alcohol","CHEBI_49000"
"Zinniol","CHEBI_10117"
"Agrimol C","CHEBI_2516"
"Danielone","CHEBI_4316"
"Paeonoside","CHEBI_7892"
"Cinnamaldehyde","CHEBI_16731"
"Coniferaldehyde;Coniferyl aldehyde;4-Hydroxy-3-methoxycinnamaldehyde","CHEBI_16547"
"4-Hydroxy-3-methoxycinnamaldehyde","CHEBI_16547"
"Coniferaldehyde","CHEBI_16547"
"Coniferyl aldehyde","CHEBI_16547"
"Dihydroconiferyl alcohol","CHEBI_4559"
"Gingerenone A","CHEBI_5352"
"Isosafrole","CHEBI_6054"
"1-Allyl-2-methoxy-4,5-methylene-dioxybenzene;Sarisan;Asaricin","CHEBI_9031"
"1-Allyl-2-methoxy-4,5-methylene-dioxybenzene","CHEBI_9031"
"Asaricin","CHEBI_9031"
"Sarisan","CHEBI_9031"
"Alizarin","CHEBI_16866"
"Alteichin","CHEBI_2614"
"Aurantio-obtusin beta-D-glucoside","CHEBI_28268"
"Chimaphylin","CHEBI_3595"
"1,4-Dihydroxy-2-methylanthraquinone","CHEBI_28677"
"Lucidin","CHEBI_6554"
"Plastoquinone 9;Plastoquinone;Plastoquinone A","CHEBI_28377"
"Plastoquinone","CHEBI_28377"
"Plastoquinone 9","CHEBI_28377"
"Plastoquinone A","CHEBI_28377"
"Ubiquinone-10","CHEBI_46245"
"Loroglossol","CHEBI_6540"
"Agrimoniin","CHEBI_581177"
"Epicatechin-(4beta->8)-ent-epicatechin","CHEBI_75633"
"Gemin A","CHEBI_5297"
"Rugosin D","CHEBI_8911"
"Gambogic acid","CHEBI_67521"
"Polygonolide","CHEBI_8306"
"Xanthochymol","CHEBI_70327"
"Camphene","CHEBI_3830"
"Cinerin II","CHEBI_3707"
"(+)-beta-Phellandrene","CHEBI_53"
"Isotenulin","CHEBI_6064"
"Micheliolide","CHEBI_6922"
"Microhelenin C","CHEBI_6927"
"Multigilin","CHEBI_7022"
"Isodomedin","CHEBI_6003"
"Ilexolide A","CHEBI_5865"
"Swertisin;6-beta-D-Glucopyranosyl-4',5-dihydroxy-7-methoxyflavone;7-O-Methylapigenin 6-C-beta-D-glucopyranoside;Flavocommelitin;6-beta-D-Glucopyranosyl-5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-4H-1-benzopyran-4-one","CHEBI_131838"
"7-O-Methylapigenin 6-C-beta-D-glucopyranoside","CHEBI_131838"
"Flavocommelitin","CHEBI_131838"
"Swertisin","CHEBI_131838"
"6-beta-D-Glucopyranosyl-4',5-dihydroxy-7-methoxyflavone","CHEBI_131838"
"6-beta-D-Glucopyranosyl-5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-4H-1-benzopyran-4-one","CHEBI_131838"
"(+)-Dihydrokaempferol;(+)-Aromadendrin;Katuranin;(2R,3R)-2,3-Dihydro-3,5,7-trihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one;(2R,3R)-Aromadendrin;(+)-(2R,3R)-Dihydrokaempferol","CHEBI_15401"
"(+)-(2R,3R)-Dihydrokaempferol","CHEBI_15401"
"(+)-Aromadendrin","CHEBI_15401"
"(+)-Dihydrokaempferol","CHEBI_15401"
"(2R,3R)-Aromadendrin","CHEBI_15401"
"(2R,3R)-2,3-Dihydro-3,5,7-trihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one","CHEBI_15401"
"Katuranin","CHEBI_15401"
"3'-Formyl-2',4',6'-trihydroxydihydrochalcone","CHEBI_28150"
"(2S)-Pinocembrin;(-)-(2S)-Pinocembrin;Pinostrobin;(-)-Pinostrobin","CHEBI_80491"
"(-)-(2S)-Pinocembrin","CHEBI_80491"
"(-)-Pinostrobin","CHEBI_80491"
"(2S)-Pinocembrin","CHEBI_80491"
"Pinostrobin","CHEBI_80491"
"Trifolirhizin;Sophojaponicin B1;(-)-Maackiain 3-O-glucoside","CHEBI_9714"
"(-)-Maackiain 3-O-glucoside","CHEBI_9714"
"Sophojaponicin B1","CHEBI_9714"
"Trifolirhizin","CHEBI_9714"
"beta-Acoradiene","CHEBI_172925"
"(+)-Isoajmaline","CHEBI_5979"
"(+)-Chelidonine;Chelidonin;Stylophorine;Chelidonine","CHEBI_31389"
"(+)-Chelidonine","CHEBI_31389"
"Chelidonin","CHEBI_31389"
"Chelidonine","CHEBI_31389"
"Stylophorine","CHEBI_31389"
"Heptadecane","CHEBI_16148"
"Tetracosane;n-Tetracosane","CHEBI_32936"
"Tetracosane","CHEBI_32936"
"n-Tetracosane","CHEBI_32936"
"n-Heptanal","CHEBI_34787"
"GA1","CHEBI_27717"
"Gibberellin A1;GA1","CHEBI_27717"
"Gibberellin A1","CHEBI_27717"
"Gibberellin A6;GA6","CHEBI_29602"
"GA6","CHEBI_29602"
"Gibberellin A6","CHEBI_29602"
"Gibberellin A15;GA15","CHEBI_29590"
"Gibberellin A15;GA15","CHEBI_133339"
"GA15","CHEBI_29590"
"GA15","CHEBI_133339"
"Gibberellin A15","CHEBI_29590"
"Gibberellin A15","CHEBI_133339"
"9-Ribosyl-cis-zeatin;6-(4-Hydroxy-3-methyl-cis-2-butenylamino)-9-beta-D-ribofuranosylpurine","CHEBI_20833"
"9-Ribosyl-cis-zeatin","CHEBI_20833"
"6-(4-Hydroxy-3-methyl-cis-2-butenylamino)-9-beta-D-ribofuranosylpurine","CHEBI_20833"
"Indole-3-acetic acid;IAA","CHEBI_16411"
"IAA","CHEBI_16411"
"Indole-3-acetic acid","CHEBI_16411"
"(R)-8-Methylsulfinyloctyl isothiocyanate","CHEBI_136947"
"Carvacrol","CHEBI_3440"
"Ethylene","CHEBI_18153"
"Chrysartemin B;Artecanin","CHEBI_2849"
"Artecanin","CHEBI_2849"
"Chrysartemin B","CHEBI_2849"
"Ectocarpene;(+)-(6S)-(1Z-Butenyl)-1,4-cycloheptadience","CHEBI_80847"
"(+)-(6S)-(1Z-Butenyl)-1,4-cycloheptadience","CHEBI_80847"
"Ectocarpene","CHEBI_80847"
"Hallactone A","CHEBI_5606"
"Psoralen","CHEBI_27616"
"Parasorbic acid","CHEBI_7926"
"Elephantin","CHEBI_520527"
"4,8,13-Duratriene-1,3-diol;2,7,11-Cembratrien-4,6-diol","CHEBI_525464"
"2,7,11-Cembratrien-4,6-diol","CHEBI_525464"
"4,8,13-Duratriene-1,3-diol","CHEBI_525464"
"Caprolactam","CHEBI_28579"
"8R-Hydroxylinoleic acid;Laetisaric acid","CHEBI_28932"
"8R-Hydroxylinoleic acid","CHEBI_28932"
"Laetisaric acid","CHEBI_28932"
"(+)-Marmesin;Marmesin","CHEBI_6695"
"(+)-Marmesin","CHEBI_6695"
"Marmesin","CHEBI_6695"
"Caffeic acid","CHEBI_16433"
"Luteolin","CHEBI_15864"
"Thiamine;Thiamin;Vitamin B1","CHEBI_18385"
"Thiamin","CHEBI_18385"
"Thiamine","CHEBI_18385"
"Vitamin B1","CHEBI_18385"
"(R)-(-)-Carvone","CHEBI_15400"
"beta-Pinene","CHEBI_50025"
"Terpinolene","CHEBI_9457"
"Abietic acid;7,13-Abietadien-18-oic acid","CHEBI_28987"
"7,13-Abietadien-18-oic acid","CHEBI_28987"
"Abietic acid","CHEBI_28987"
"beta-Carotene","CHEBI_17579"
"Abyssinone V","CHEBI_2368"
"Broussin","CHEBI_3185"
"7,3'-Dihydroxy-4'-methoxy-8-methylflavan","CHEBI_2244"
"Eriodictyol;(+)-Eriodictyol","CHEBI_28412"
"(+)-Eriodictyol","CHEBI_28412"
"Eriodictyol","CHEBI_28412"
"Hesperetin","CHEBI_28230"
"Isochamaejasmin","CHEBI_5994"
"Odoratol","CHEBI_7729"
"Chlorflavonin","CHEBI_3613"
"Isoetin","CHEBI_6006"
"Norwogonin","CHEBI_7642"
"Primetin","CHEBI_8410"
"Robustaflavone","CHEBI_8881"
"Tangeretin;4',5,6,7,8-Pentamethoxyflavone","CHEBI_9400"
"4',5,6,7,8-Pentamethoxyflavone","CHEBI_9400"
"Tangeretin","CHEBI_9400"
"alpha-D-Galactopyranose","CHEBI_28061"
"Lactose","CHEBI_17716"
"Lepidimoide","CHEBI_9176"
"Melibiose","CHEBI_28053"
"Umbelliferose","CHEBI_9859"
"D-Arabitol","CHEBI_18333"
"Dulcitol","CHEBI_16813"
"Butyric acid","CHEBI_30772"
"Formic acid","CHEBI_30751"
"L-Lactic acid;(S)-(+)-Lactic acid","CHEBI_422"
"(S)-(+)-Lactic acid","CHEBI_422"
"L-Lactic acid","CHEBI_422"
"Pimelic acid","CHEBI_30531"
"Quinic acid","CHEBI_17521"
"Valeric acid","CHEBI_17418"
"Chaulmoogric acid","CHEBI_61391"
"(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid","CHEBI_28364"
"alpha-Eleostearic acid","CHEBI_10275"
"omega-Hydroxydodecanoic acid","CHEBI_39567"
"Ricinoleic acid","CHEBI_28592"
"Stearic acid;Octadecanoic acid","CHEBI_28842"
"Octadecanoic acid","CHEBI_28842"
"Stearic acid","CHEBI_28842"
"Diallyl disulfide","CHEBI_4488"
"Heptan-2-one;Methyl-n-pentyl ketone","CHEBI_5672"
"Heptan-2-one","CHEBI_5672"
"Methyl-n-pentyl ketone","CHEBI_5672"
"Propane-2-thiol","CHEBI_8474"
"Tritriacontane-16,18-dione","CHEBI_9752"
"(-)-Falcarinol;Falcarinol;Panaxynol","CHEBI_66722"
"(-)-Falcarinol","CHEBI_66722"
"Falcarinol","CHEBI_66722"
"Panaxynol","CHEBI_66722"
"Mycosinol","CHEBI_7038"
"1-Phenylhepta-1,3,5-triyne","CHEBI_671"
"alpha-Terthienyl","CHEBI_10335"
"Triacetylene","CHEBI_9662"
"Asimicin","CHEBI_2874"
"Epoxymurin-A","CHEBI_4813"
"PM-toxin A","CHEBI_7879"
"beta-Alanine","CHEBI_16958"
"L-Asparagine","CHEBI_17196"
"L-Glutamine","CHEBI_18050"
"L-Glutamine","CHEBI_28300"
"Glycine","CHEBI_15428"
"trans-4-Hydroxy-L-proline;trans-4-Hydroxyproline","CHEBI_18095"
"trans-4-Hydroxy-L-proline;trans-4-Hydroxyproline","CHEBI_18240"
"trans-4-Hydroxy-L-proline","CHEBI_18095"
"trans-4-Hydroxy-L-proline","CHEBI_18240"
"trans-4-Hydroxyproline","CHEBI_18095"
"trans-4-Hydroxyproline","CHEBI_18240"
"L-Mimosine","CHEBI_29063"
"Bufotenine","CHEBI_3210"
"Hordenine;Anhalin;Anhaline;Cactine","CHEBI_5764"
"Anhalin","CHEBI_5764"
"Anhaline","CHEBI_5764"
"Cactine","CHEBI_5764"
"Hordenine","CHEBI_5764"
"Indole","CHEBI_16881"
"Mescaline","CHEBI_28346"
"Muscarine","CHEBI_7034"
"L-Noradrenaline;Norepinephrine;(-)-Norepinephrine","CHEBI_18357"
"(-)-Norepinephrine","CHEBI_18357"
"L-Noradrenaline","CHEBI_18357"
"Norepinephrine","CHEBI_18357"
"Phenethylamine","CHEBI_18397"
"Psilocin","CHEBI_8613"
"Tyramine","CHEBI_15760"
"Proacacipetalin","CHEBI_8423"
"Proteacin","CHEBI_8525"
"Sarmentosin","CHEBI_9033"
"Glucocheirolin;3-(Methylsufonyl)propyl glucosinolate","CHEBI_5400"
"3-(Methylsufonyl)propyl glucosinolate","CHEBI_5400"
"Glucocheirolin","CHEBI_5400"
"Progoitrin;2(R)-2-Hydroxy 3-butenyl glucosinolate","CHEBI_79352"
"2(R)-2-Hydroxy 3-butenyl glucosinolate","CHEBI_79352"
"Progoitrin","CHEBI_79352"
"ATP;Adenosine triphosphate","CHEBI_15422"
"ATP","CHEBI_15422"
"Adenosine triphosphate","CHEBI_15422"
"Caffeine","CHEBI_27732"
"Clitidine 5'-phosphate","CHEBI_3747"
"FAD","CHEBI_16238"
"FAD;Flavin adenine dinucleotide","CHEBI_16238"
"Flavin adenine dinucleotide","CHEBI_16238"
"Kinetin","CHEBI_27407"
"5-Methyluracil;Thymine","CHEBI_17821"
"5-Methyluracil","CHEBI_17821"
"Thymine","CHEBI_17821"
"alpha-Amanitin","CHEBI_37415"
"Coronarian","CHEBI_3886"
"Cycasin","CHEBI_17074"
"Dianthramine","CHEBI_4492"
"Isatan B;Isotan B","CHEBI_6063"
"Isatan B","CHEBI_6063"
"Isotan B","CHEBI_6063"
"Tenuazonic acid","CHEBI_9440"
"3-Acetylnerbowdine","CHEBI_1446"
"Candimine","CHEBI_70240"
"Crinamine","CHEBI_3914"
"Kalbreclasine","CHEBI_6101"
"Lycoricidinol;Narciclasine","CHEBI_70169"
"Lycoricidinol","CHEBI_70169"
"Narciclasine","CHEBI_70169"
"Amaranthin","CHEBI_2621"
"Bougainvillein-r-I","CHEBI_3161"
"Iresinin I","CHEBI_5961"
"Isobetanin","CHEBI_5985"
"Lampranthin II","CHEBI_6368"
"Musca-aurin-I","CHEBI_7031"
"Portulacaxanthin II","CHEBI_8341"
"Portulacaxanthin III","CHEBI_8342"
"Vulgaxanthin I","CHEBI_10025"
"Avadharidine","CHEBI_2934"
"Delavaine A","CHEBI_4377"
"Heteratisine","CHEBI_5684"
"Hetisine;Delatine;NSC 295656","CHEBI_5690"
"Delatine","CHEBI_5690"
"Hetisine","CHEBI_5690"
"NSC 295656","CHEBI_5690"
"Icacine","CHEBI_5859"
"Nudicauline","CHEBI_7657"
"Veatchine","CHEBI_9938"
"Affinine","CHEBI_2502"
"Calycanthidine","CHEBI_3332"
"Canthin-6-one","CHEBI_3363"
"C-curarine","CHEBI_3253"
"Deserpidine","CHEBI_27478"
"Ergometrine;Ergonovine;Ergobasine","CHEBI_4822"
"Ergobasine","CHEBI_4822"
"Ergometrine","CHEBI_4822"
"Ergonovine","CHEBI_4822"
"Ergotamine","CHEBI_4562"
"Evodiamine","CHEBI_4948"
"Gelsemine","CHEBI_5294"
"Harman;Harmane;Indoter;Locuturin;Zygofabagine","CHEBI_5623"
"Harman","CHEBI_5623"
"Harmane","CHEBI_5623"
"Indoter","CHEBI_5623"
"Locuturin","CHEBI_5623"
"Zygofabagine","CHEBI_5623"
"Hypaphorine","CHEBI_5832"
"Leurosidine","CHEBI_6429"
"Melosatin B","CHEBI_6740"
"(-)-Mesembrine;Mesembrine","CHEBI_6778"
"(-)-Mesembrine","CHEBI_6778"
"Mesembrine","CHEBI_6778"
"Mitragynine","CHEBI_6956"
"Physovenine","CHEBI_8188"
"Rescinnamine","CHEBI_28572"
"Serpentine","CHEBI_9119"
"Tetrahydroharmine","CHEBI_9485"
"Voacamine","CHEBI_10014"
"Yohimbine","CHEBI_10093"
"Aknadicine","CHEBI_2529"
"(+)-Bebeerine","CHEBI_11"
"Capnoidine;(-)-Adlumidine;(-)-Capnoidine;l-Adlumidine;l-Capnoidine","CHEBI_68991"
"(-)-Adlumidine","CHEBI_68991"
"(-)-Capnoidine","CHEBI_68991"
"Capnoidine","CHEBI_68991"
"l-Adlumidine","CHEBI_68991"
"l-Capnoidine","CHEBI_68991"
"Cassyfiline","CHEBI_3458"
"(+)-Cassythicine;Cassythicine;N-Methylactinodaphnine;(+)-N-Methylactinodaphnine","CHEBI_17"
"(+)-Cassythicine","CHEBI_17"
"(+)-N-Methylactinodaphnine","CHEBI_17"
"Cassythicine","CHEBI_17"
"N-Methylactinodaphnine","CHEBI_17"
"Cularicine","CHEBI_3955"
"Daphnoline;Trilobamin;Trilobamine","CHEBI_4323"
"Daphnoline","CHEBI_4323"
"Trilobamin","CHEBI_4323"
"Trilobamine","CHEBI_4323"
"Glaucine;O,O-Dimethylisoboldine;S-(+)-Glaucine","CHEBI_5373"
"Glaucine","CHEBI_5373"
"O,O-Dimethylisoboldine","CHEBI_5373"
"S-(+)-Glaucine","CHEBI_5373"
"Glaziovine;L-(-)-N-Methylcrotsparine;L-Glaziovine;N-Methylcrotsparine","CHEBI_5376"
"Glaziovine","CHEBI_5376"
"L-(-)-N-Methylcrotsparine","CHEBI_5376"
"L-Glaziovine","CHEBI_5376"
"N-Methylcrotsparine","CHEBI_5376"
"Gyrocarpine","CHEBI_5582"
"Isothebaine","CHEBI_6066"
"Liriodenine;Oxoushinsunine;Spermatheridine","CHEBI_70649"
"Liriodenine","CHEBI_70649"
"Oxoushinsunine","CHEBI_70649"
"Spermatheridine","CHEBI_70649"
"Neopine","CHEBI_7509"
"Obaberine","CHEBI_7712"
"Pycnamine","CHEBI_8651"
"Thalidasine","CHEBI_9512"
"Actinidine","CHEBI_2443"
"Tecomine","CHEBI_9424"
"Tecostanin","CHEBI_9425"
"Frangulanine","CHEBI_5166"
"Integerrine","CHEBI_5936"
"Pandamine","CHEBI_7909"
"Buchananine","CHEBI_3202"
"Castanospermine","CHEBI_27860"
"Stachydrine","CHEBI_35280"
"Amabiline","CHEBI_2617"
"Anacrotine","CHEBI_2697"
"Isolycopsamine","CHEBI_6024"
"Retrorsine","CHEBI_8822"
"Riddelline","CHEBI_63924"
"Arauchin D","CHEBI_2921"
"Cusparine","CHEBI_3964"
"Isodictamine;Isodictamnine","CHEBI_6001"
"Isodictamine","CHEBI_6001"
"Isodictamnine","CHEBI_6001"
"Isofebrifugine","CHEBI_6008"
"Lunamarine","CHEBI_6565"
"Quinine","CHEBI_15854"
"Tryptanthrin;Tryptanthrine;Couroupitine A","CHEBI_9768"
"Couroupitine A","CHEBI_9768"
"Tryptanthrin","CHEBI_9768"
"Tryptanthrine","CHEBI_9768"
"Vasicinol","CHEBI_9935"
"(-)-Lupinine","CHEBI_28012"
"(+)-Matrine;Matrine","CHEBI_6700"
"(+)-Matrine","CHEBI_6700"
"Matrine","CHEBI_6700"
"Retamine","CHEBI_8813"
"Cyclobuxine D","CHEBI_3999"
"Irehine","CHEBI_5960"
"Kurchessine","CHEBI_6145"
"Solasodine","CHEBI_9190"
"Calystegin A3;Calystegine A3","CHEBI_3336"
"Calystegin A3","CHEBI_3336"
"Calystegine A3","CHEBI_3336"
"Hyoscine;Scopolamine;Scopine (-)-tropate;Scopine tropate","CHEBI_16794"
"Hyoscine","CHEBI_16794"
"Scopine (-)-tropate","CHEBI_16794"
"Scopine tropate","CHEBI_16794"
"Scopolamine","CHEBI_16794"
"Casimiroedine","CHEBI_3451"
"Colchicine;Colchineos;Colchisol;Colcin;Colsaloid;Condylon","CHEBI_27882"
"Colchicine","CHEBI_27882"
"Colchineos","CHEBI_27882"
"Colchisol","CHEBI_27882"
"Colcin","CHEBI_27882"
"Colsaloid","CHEBI_27882"
"Condylon","CHEBI_27882"
